"Отметка времени","I have read the information above and agree to participate. I consent to the collection, processing, and storage of my data for this survey.","Are you currently enrolled as a Computer Science student and have you used ChatGPT in your academic work?","What degree are you pursuing? ","What is your programming experience?","In which country is the university where you are currently studying?","What is your gender?","What is your age?","Which version(s) of ChatGPT have you used?","ChatGPT helps me find accurate information and answers to academic queries.","ChatGPT enhances my academic performance.","ChatGPT is time-saving when it comes to academic work.","I trust ChatGPT as a reliable tool to generate code for programming tasks.","ChatGPT helps me learn and understand various programming concepts (e.g., functions, inheritance, objects and classes).","ChatGPT helps me debug code and fix mistakes in programming tasks.","ChatGPT is overall a useful tool for academic work.","I believe ChatGPT's reliability and accuracy are equivalent to search engines' (e.g., Google Search, Mozilla Firefox).","ChatGPT is fun to use in my academic work.","ChatGPT helps me come up with creative ideas for my academic work.","Learning how to write ChatGPT prompts to get reliable answers is easy.","I have access to adequate resources (e.g., internet, devices) to use ChatGPT effectively.","Teachers and other teaching staff believe I should use ChatGPT for academic purposes.","My peers believe I should use ChatGPT for academic purposes.","I feel comfortable telling others that I am using ChatGPT for academic purposes.","Please specify the reasons why you might feel uncomfortable telling others that you use ChatGPT for academic purposes:","If some reasons were not mentioned above, please specify:","I believe ChatGPT usage can have a positive impact on my studying process.","Please specify in which way ChatGPT usage can have a positive impact on your studying process:","I believe ChatGPT usage can have a negative impact on my studying process.","Please specify in which way ChatGPT usage can have a negative impact on your studying process:","If some concerns were not mentioned above, please specify:","How often do you need to rewrite ChatGPT prompts to get satisfactory results?","How often do you use ChatGPT for academic purposes?"," How long have you been using ChatGPT?","Have you used other AI language models or AI tools except for ChatGPT? (e.g., Bing AI, Notion AI)"
"2024/05/24 9:54:16 AM GMT+3","Yes","Yes","Master","1-5 years","Russia","Female","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","","","Strongly agree","Writing essays more easily and smoothly, it helps me with layouts for coding tasks, gives me ideas for new projects or enhancements to my work","Agree","Critical thinking skills;Problem-solving skills","","Occasionally","Frequently","0 to 6 months","Yes"
"2024/05/24 11:23:35 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Female","25-35 years","ChatGPT 3.5;ChatGPT 4","Agree","Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","","","Agree","Help me debugging since i always ask why i have this error info","Agree","Problem-solving skills","","Occasionally","Occasionally","6 to 12 months","Yes"
"2024/05/24 11:28:29 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Female","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Agree","Neither agree nor disagree","Strongly Agree","Agree","Strongly Agree","Agree","Neither agree nor disagree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","","","Strongly agree","Can help me figure out compilation errors and any other errors I get when using linux, for example. It also explains concepts behind the code very goos and I can reask if something is unclear ","Disagree","","","Occasionally","Frequently","1 to 2 years","No"
"2024/05/24 12:00:13 PM GMT+3","Yes","Yes","Master","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Disagree","Neither agree nor disagree","Strongly Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","","","Strongly agree","Allow me to translate my work into English quickly and efficiently, saves time, makes the text clearer and more accurate. I mainly use ChatGPT to work with text. It should be noted, however, that ChatGPT is not able to write anything substantial on my subject (I am a theoretical physicist). ","Agree","Critical thinking skills;Problem-solving skills;Creativity","People may be worse at formulating thoughts in text if they are constantly turning to ChatGPT to correct their thoughts. ","Occasionally","Occasionally","0 to 6 months","Yes"
"2024/05/24 1:58:26 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","","","Agree","Programming ","Strongly disagree","","","Occasionally","Frequently","1 to 2 years","Yes"
"2024/05/24 2:09:22 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Non-binary","18-25 years","ChatGPT 3.5","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Agree","","","Strongly disagree","","Agree","Problem-solving skills","","Occasionally","Rarely","1 to 2 years","No"
"2024/05/24 2:12:14 PM GMT+3","Yes","Yes","Master","5-10 years","Netherlands","Female","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Neither agree nor disagree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Agree","","Agree","Problem-solving skills;Creativity","","Frequently","Occasionally","1 to 2 years","Yes"
"2024/05/24 2:37:09 PM GMT+3","Yes","Yes","Master","1-5 years","Netherlands","Male","18-25 years","ChatGPT 4","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Strongly agree","Time saving","Strongly disagree","","","Occasionally","Occasionally","0 to 6 months","Yes"
"2024/05/24 2:38:18 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Non-binary","18-25 years","ChatGPT 3.5","Disagree","Strongly Disagree","Agree","Strongly Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Disagree","Strongly disagree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","I worry that others might question the authenticity and originality of my work.","","Neither agree nor disagree","","Agree","Critical thinking skills;Problem-solving skills","","Occasionally","Rarely","6 to 12 months","No"
"2024/05/24 3:04:06 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Disagree","Agree","Strongly agree","Disagree","Strongly agree","Agree","","","Strongly agree","Helps a lot in many ways","Agree","Critical thinking skills;Problem-solving skills","","Frequently","Frequently","1 to 2 years","Yes"
